date;city;store;long;lat;value
01.01.2017;Cuidad de Mexico;Maven Toys Ciudad de Mexico 2;-99.13289;19.42295;373,8
01.01.2017;Ciudad Victoria;Maven Toys Ciudad Victoria 1;-99.14766;23.74204;283,9
01.01.2017;Guadalajara;Maven Toys Guadalajara 1;-103.33243;20.67306;534,52
01.01.2017;Campeche;Maven Toys Campeche 1;-90.48665;19.84618;321,62
01.01.2017;Chihuahua;Maven Toys Chihuahua 2;-106.08538;28.66703;735,53
01.01.2017;Aguascalientes;Maven Toys Aguascalientes 1;-102.27797;21.8845;343,68
01.01.2017;Cuidad de Mexico;Maven Toys Ciudad de Mexico 3;-99.13289;19.42295;955,46
01.01.2017;Chetumal;Maven Toys Chetumal 1;-88.30071;18.52347;955,29
01.01.2017;Durango;Maven Toys Durango 1;-104.65333;24.02617;59,94
01.01.2017;Cuernavaca;Maven Toys Cuernavaca 1;-99.22452;18.93529;26,97
01.01.2017;Mexicali;Maven Toys Mexicali 1;-115.44296;32.6149;313,61
01.01.2017;Chihuahua;Maven Toys Chihuahua 1;-106.08538;28.66703;164,85
01.01.2017;Hermosillo;Maven Toys Hermosillo 3;-110.954167;29.098889;90,85
01.01.2017;Chilpancingo;Maven Toys Chilpancingo 1;-99.51871;17.57329;107,88
01.01.2017;Culiacan;Maven Toys Culiacan 1;-107.40728;24.80802;154,83
01.01.2017;Guadalajara;Maven Toys Guadalajara 2;-103.33243;20.67306;461,73
01.01.2017;Guanajuato;Maven Toys Guanajuato 3;-101.25859;21.01378;1032,06
01.01.2017;Guanajuato;Maven Toys Guanajuato 2;-101.25859;21.01378;279,86
01.01.2017;Santiago;Maven Toys Santiago 1;-100.14342;25.41685;737,54
01.01.2017;Cuidad de Mexico;Maven Toys Ciudad de Mexico 1;-99.13289;19.42295;487,63
01.01.2017;Pachuca;Maven Toys Pachuca 1;-98.72616;20.11397;283,8
01.01.2017;Guadalajara;Maven Toys Guadalajara 3;-103.33243;20.67306;1054,3
01.01.2017;Morelia;Maven Toys Morelia 1;-101.20019;19.70176;504,64
01.01.2017;Hermosillo;Maven Toys Hermosillo 1;-110.954167;29.098889;334,55
01.01.2017;Mexicali;Maven Toys Mexicali 2;-115.44296;32.6149;149,9
01.01.2017;Merida;Maven Toys Merida 1;-114.92036;32.66117;269,82
01.01.2017;Saltillo;Maven Toys Saltillo 2;-101.01555;25.39332;469,6
01.01.2017;Guadalajara;Maven Toys Guadalajara 4;-103.33243;20.67306;89,94
01.01.2017;Puebla;Maven Toys Puebla 1;-98.20079;19.04177;1188,12
01.01.2017;Guanajuato;Maven Toys Guanajuato 1;-101.25859;21.01378;94,94
01.01.2017;Monterrey;Maven Toys Monterrey 3;-100.33868;25.70575;300,67
01.01.2017;Hermosillo;Maven Toys Hermosillo 2;-110.954167;29.098889;778,21
01.01.2017;Puebla;Maven Toys Puebla 3;-98.20079;19.04177;1147,52
01.01.2017;Saltillo;Maven Toys Saltillo 1;-101.01555;25.39332;680,63
01.01.2017;Oaxaca;Maven Toys Oaxaca 1;-96.7236;17.0654;34,95
01.01.2017;Monterrey;Maven Toys Monterrey 2;-100.33868;25.70575;301,68
01.01.2017;Villahermosa;Maven Toys Villahermosa 1;-92.92962;17.86316;2175,22
01.01.2017;La Paz;Maven Toys La Paz 1;-110.31246;24.11284;467,51
01.01.2017;Xalapa;Maven Toys Xalapa 2;-96.92905;19.55327;960,55
01.01.2017;Toluca;Maven Toys Toluca 2;-99.6615;19.22035;299,84
01.01.2017;Toluca;Maven Toys Toluca 1;-99.6615;19.22035;87,92
01.01.2017;Xalapa;Maven Toys Xalapa 1;-96.92905;19.55327;194,85
01.01.2017;Monterrey;Maven Toys Monterrey 1;-100.33868;25.70575;199,95
01.01.2017;Monterrey;Maven Toys Monterrey 4;-100.33868;25.70575;93,88
01.01.2017;Puebla;Maven Toys Puebla 2;-98.20079;19.04177;315,83
01.01.2017;San Luis Potosi;Maven Toys San Luis Potosi 1;-100.95714;22.16418;175,78
02.01.2017;Campeche;Maven Toys Campeche 1;-90.48665;19.84618;415,68
02.01.2017;Monterrey;Maven Toys Monterrey 4;-100.33868;25.70575;319,92
02.01.2017;Chetumal;Maven Toys Chetumal 1;-88.30071;18.52347;394,76
02.01.2017;Cuidad de Mexico;Maven Toys Ciudad de Mexico 2;-99.13289;19.42295;625,57
02.01.2017;Chihuahua;Maven Toys Chihuahua 2;-106.08538;28.66703;267,75
02.01.2017;Aguascalientes;Maven Toys Aguascalientes 1;-102.27797;21.8845;464,43
02.01.2017;Ciudad Victoria;Maven Toys Ciudad Victoria 1;-99.14766;23.74204;149,9
02.01.2017;Campeche;Maven Toys Campeche 2;-90.48665;19.84618;261,88
02.01.2017;Chihuahua;Maven Toys Chihuahua 1;-106.08538;28.66703;210,81
02.01.2017;Pachuca;Maven Toys Pachuca 1;-98.72616;20.11397;343,7
02.01.2017;Hermosillo;Maven Toys Hermosillo 1;-110.954167;29.098889;127,84
02.01.2017;Cuidad de Mexico;Maven Toys Ciudad de Mexico 3;-99.13289;19.42295;255,76
02.01.2017;Chilpancingo;Maven Toys Chilpancingo 1;-99.51871;17.57329;223,86
02.01.2017;Cuidad de Mexico;Maven Toys Ciudad de Mexico 1;-99.13289;19.42295;384,78
02.01.2017;Culiacan;Maven Toys Culiacan 1;-107.40728;24.80802;388,59
02.01.2017;Guadalajara;Maven Toys Guadalajara 2;-103.33243;20.67306;1176,13
02.01.2017;Cuidad de Mexico;Maven Toys Ciudad de Mexico 4;-99.13289;19.42295;219,89
02.01.2017;Puebla;Maven Toys Puebla 1;-98.20079;19.04177;704,31
02.01.2017;Merida;Maven Toys Merida 1;-114.92036;32.66117;749,5
02.01.2017;Durango;Maven Toys Durango 1;-104.65333;24.02617;708,47
